Título,Precio de venta,Editor,Fecha de lanzamiento,Idioma,Subtítulos,Año,País,Duración,Calificación,Link
Gladiator II (Blu-Ray),"19,99 €",DIVISA RED S.A.,4 de marzo de 2025,"Castellano, Dolby Digital 5,1
Inglés, Dolby Atmos
Alemán, Dolby Digital 5,1
Checo, Dolby Digital 5,1
Francés, Dolby Digital 5,1
Italiano, Dolby Digital 5,1
Japonés, Dolby Digital 5,1
Tailandés, Dolby Digital 5,1","Castellano
Inglés
Alemán
Checo
Chino
Danés
Finés
Francés
Japonés
Italiano",2024,EEUU,148 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A54115753-gladiator-ii-blu-ray/?parentCategoryId=999.54220013&color=default
Sonic 3: La película (Edición Metálica Shadow) (4K Ultra HD + Blu-Ray),"32,99 €",DIVISA RED S.A.,14 de abril de 2025,"Castellano, DTS-Surround 5,1
Alemán, DTS-Surround 5,1
Checo, DTS-Surround 5,1
Chino, DTS-Surround 5,1
Italiano, DTS-Surround 5,1
Japonés, DTS-Surround 5,1
Polaco, DTS-Surround 5,1
Inglés, Dolby Atmos","Castellano
Inglés
Alemán
Checo
Italiano
Chino
Eslovaco
Japonés
Polaco
Turco",2024,EEUU,110 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A54961733-sonic-3-la-pelicula-edicion-metalica-shadow-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Mufasa: El rey león (Edición Metálica) (4K Ultra HD + Blu-Ray),"32,99 €",DIVISA RED S.A.,31 de marzo de 2025,"Castellano, DTS-Surround 5,1
Inglés, DTS-HD 7,1
Japonés, Dolby Digital Plus 7,1
Español De América, Dolby Digital Plus 7,1
Inglés, Audio Descriptivo
Japonés, Audio Descriptivo","Castellano
Japonés
Español De América",2024,EEUU,118 min,Para todos los públicos,https://www.elcorteingles.es/cine/A54670017-mufasa-el-rey-leon-edicion-metalica-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Gladiator II (4K Ultra HD + Blu-Ray),"25,99 €",DIVISA RED S.A.,4 de marzo de 2025,"Castellano, Dolby Digital 5,1
Catalán, Dolby Digital 5,1
Inglés, Dolby Atmos
Alemán, Dolby Atmos
Checo, Dolby Digital 5,1
Italiano, Dolby Digital 5,1
Polaco, Dolby Digital 5,1
Inglés, Audio Descriptivo","Castellano
Catalán
Inglés
Alemán
Checo
Eslovaco
Italiano
Polaco
Turco",2024,EEUU,148 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A54115752-gladiator-ii-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Mufasa: El rey león (DVD),"17,99 €",DIVISA RED S.A.,31 de marzo de 2025,"Castellano, Dolby Digital 5,1
Inglés, Dolby Digital 5,1
Italiano, Dolby Digital 5,1
Inglés, Audio Descriptivo","Castellano
Italiano",2024,EEUU,113 min,Para todos los públicos,https://www.elcorteingles.es/cine/A54670025-mufasa-el-rey-leon-dvd/?parentCategoryId=999.54220013&color=default
Gladiator II (Edición Metálica Coleccionista 2) (4K Ultra HD + Blu-Ray),"34,99 €",DIVISA RED S.A.,4 de marzo de 2025,"Castellano, Dolby Digital 5,1
Catalán, Dolby Digital 5,1
Inglés, Dolby Atmos
Alemán, Dolby Atmos
Checo, Dolby Digital 5,1
Italiano, Dolby Digital 5,1
Polaco, Dolby Digital 5,1","Castellano
Catalán
Inglés
Alemán
Checo
Eslovaco
Italiano
Polaco
Turco",2024,EEUU,148 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A54115751-gladiator-ii-edicion-metalica-coleccionista-2-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Furiosa: De la saga Mad Max (4K Ultra HD + Blu-Ray),"24,95 €",Warner,28 de agosto de 2024,"Castellano, Dolby Atmos
Inglés, Dolby Atmos",Castellano,2024,EEUU,148 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A52641409-furiosa-de-la-saga-mad-max-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Sonic 3: La película (Edición Metálica Sonic) (4K Ultra HD + Blu-Ray),"32,99 €",DIVISA RED S.A.,14 de abril de 2025,"Castellano, DTS-Surround 5,1
Alemán, DTS-Surround 5,1
Checo, DTS-Surround 5,1
Chino, DTS-Surround 5,1
Italiano, DTS-Surround 5,1
Japonés, DTS-Surround 5,1
Polaco, DTS-Surround 5,1
Inglés, Dolby Atmos","Castellano
Inglés
Alemán
Checo
Italiano
Chino
Eslovaco
Japonés
Polaco
Turco",2024,EEUU,110 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A54961730-sonic-3-la-pelicula-edicion-metalica-sonic-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
John Wick (Otro día para matar) (4K Ultra HD + Blu-Ray),"25,99 €",DIVISA RED S.A.,30 de junio de 2023,"Castellano
Inglés",Castellano,2017,EEUU,101 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A47870742-john-wick-otro-dia-para-matar-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Mufasa: El rey león (Blu-Ray),"21,99 €",DIVISA RED S.A.,31 de marzo de 2025,"Castellano, DTS-Surround 5,1
Inglés, DTS-HD 7,1",Castellano,2024,EEUU,118 min,Para todos los públicos,https://www.elcorteingles.es/cine/A54670022-mufasa-el-rey-leon-blu-ray/?parentCategoryId=999.54220013&color=default
