Titulo,Link,Fecha_lanzamiento,Editor,País,Duración,Edad_mínima,Año_grabación,Subtítulos
Sonic 3: La película (Edición Metálica Shadow) (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A54961733-sonic-3-la-pelicula-edicion-metalica-shadow-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,14 de abril de 2025,DIVISA RED S.A.,EEUU,110 min,No recomendada a menores de 7 años,2024,"Castellano
Inglés
Alemán
Checo
Italiano
Chino
Eslovaco
Japonés
Polaco
Turco"
Gladiator II (Blu-Ray),https://www.elcorteingles.es/cine/A54115753-gladiator-ii-blu-ray/?parentCategoryId=999.54220013&color=default,4 de marzo de 2025,DIVISA RED S.A.,N/A,N/A,N/A,N/A,N/A
Mufasa: El rey león (Edición Metálica) (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A54670017-mufasa-el-rey-leon-edicion-metalica-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,31 de marzo de 2025,DIVISA RED S.A.,EEUU,118 min,Para todos los públicos,2024,"Castellano
Japonés
Español De América"
Sonic 3: La película (Edición Metálica Sonic) (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A54961730-sonic-3-la-pelicula-edicion-metalica-sonic-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,14 de abril de 2025,DIVISA RED S.A.,EEUU,110 min,No recomendada a menores de 7 años,2024,"Castellano
Inglés
Alemán
Checo
Italiano
Chino
Eslovaco
Japonés
Polaco
Turco"
Mufasa: El rey león (DVD),https://www.elcorteingles.es/cine/A54670025-mufasa-el-rey-leon-dvd/?parentCategoryId=999.54220013&color=default,31 de marzo de 2025,DIVISA RED S.A.,N/A,N/A,N/A,N/A,EEUU
Gladiator II (Edición Metálica Coleccionista 2) (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A54115751-gladiator-ii-edicion-metalica-coleccionista-2-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,4 de marzo de 2025,DIVISA RED S.A.,N/A,N/A,N/A,N/A,EEUU
Gladiator II (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A54115752-gladiator-ii-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,4 de marzo de 2025,DIVISA RED S.A.,N/A,N/A,N/A,N/A,N/A
Mufasa: El rey león (Blu-Ray),https://www.elcorteingles.es/cine/A54670022-mufasa-el-rey-leon-blu-ray/?parentCategoryId=999.54220013&color=default,31 de marzo de 2025,DIVISA RED S.A.,N/A,N/A,N/A,N/A,EEUU
Sonic 3: la película (Blu-Ray),https://www.elcorteingles.es/cine/A54961735-sonic-3-la-pelicula-blu-ray/?parentCategoryId=999.54220013&color=default,14 de abril de 2025,DIVISA RED S.A.,N/A,N/A,N/A,N/A,EEUU
El último hombre (Blu-Ray),https://www.elcorteingles.es/cine/A55083328-el-ultimo-hombre-blu-ray/?parentCategoryId=999.54220013&color=default,30 de abril de 2025,WARNER HBO,N/A,N/A,N/A,N/A,EEUU
Gladiator II (DVD),https://www.elcorteingles.es/cine/A54115749-gladiator-ii-dvd/?parentCategoryId=999.54220013&color=default,4 de marzo de 2025,DIVISA RED S.A.,N/A,N/A,N/A,N/A,N/A
John Wick (Otro día para matar) (4K Ultra HD + Blu-Ray),https://www.elcorteingles.es/cine/A47870742-john-wick-otro-dia-para-matar-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default,30 de junio de 2023,DIVISA RED S.A.,N/A,N/A,N/A,N/A,N/A
Sonic 3: la película (DVD),https://www.elcorteingles.es/cine/A54961736-sonic-3-la-pelicula-dvd/?parentCategoryId=999.54220013&color=default,14 de abril de 2025,DIVISA RED S.A.,N/A,N/A,N/A,N/A,EEUU
Indiana Jones: 4-Movie Collection (5 Blu-Ray),https://www.elcorteingles.es/cine/A41219239-indiana-jones-4-movie-collection-5-blu-ray/?parentCategoryId=999.54220013&color=default,11 de octubre de 2021,DIVISA RED S. A.,N/A,N/A,N/A,N/A,N/A
